praca,preco_vista,preco_30d,data
PA Marabá,326.5,330.00,2026-06-16
PA Redenção,326.5,330.00,2026-06-16
PA Paragominas,328.5,332.00,2026-06-16
RO Sudeste,326.5,330.00,2026-06-16
TO Sul,311.5,315.00,2026-06-16
TO Norte,316.5,320.00,2026-06-16
Acre,287.0,290.00,2026-06-16
ES,306.5,310.00,2026-06-16
RJ,313.5,317.00,2026-06-16
Roraima,316.5,320.00,2026-06-16
SP Barretos,331.5,335.00,2026-06-17
SP Araçatuba,331.5,335.00,2026-06-17
MG Triângulo,311.5,315.00,2026-06-17
MG B.Horizonte,306.5,310.00,2026-06-17
MG Norte,311.5,315.00,2026-06-17
MG Sul,306.5,310.00,2026-06-17
GO Goiânia,312.5,316.00,2026-06-17
GO Reg. Sul,313.5,317.00,2026-06-17
MS Dourados,326.5,330.00,2026-06-17
MS C. Grande,329.5,333.00,2026-06-17
MS Três Lagoas,326.5,330.00,2026-06-17
RS Oeste (kg),11.65,11.80,2026-06-17
